"winner","winner_seeding","winner_flag","loser","loser_seeding","loser_flag","score","round","year","winner_country","loser_country","winner_type","loser_type"
"Irakli Labadze",,"GEO","Gaston Gaudio",16,"ARG","64 62 63","Round of 64",2006,"Georgia","Argentina","qualifier",
"Sebastien Grosjean",15,"FRA","Jamie Delgado",,"GBR","63 36 62 63","Round of 64",2006,"France","Great Britain",,"wildcard"
"Radek Stepanek",14,"CZE","Xavier Malisse",,"BEL","63 674 75 61","Round of 64",2006,"Czech Republic","Belgium",,
"Tomas Berdych",13,"CZE","Fabrice Santoro",,"FRA","64 676 26 765 64","Round of 64",2006,"Czech Republic","France",,
"Novak Djokovic",,"SRB","Tommy Robredo",11,"ESP","765 62 64","Round of 64",2006,"Serbia","Spain",,
"Fernando Gonzalez",10,"CHI","Marat Safin",,"RUS","46 674 64 64 64","Round of 64",2006,"Chile","Russia",,
"James Blake",8,"USA","Jimmy Wang",,"TPE","64 62 46 62","Round of 64",2006,"United States","Chinese Taipei",,
"Mario Ancic",7,"CRO","Davide Sanguinetti",,"ITA","64 62 61","Round of 64",2006,"Croatia","Italy",,
"Lleyton Hewitt",6,"AUS","Hyung-Taik Lee",,"KOR","674 62 766 675 64","Round of 64",2006,"Australia","South Korea",,
"Ivan Ljubicic",5,"CRO","Justin Gimelstob",,"USA","63 761 75","Round of 64",2006,"Croatia","United States",,
"David Nalbandian",4,"ARG","Arnaud Clement",,"FRA","64 64 63","Round of 64",2006,"Argentina","France",,
"Andy Roddick",3,"USA","Florian Mayer",,"GER","64 61 62","Round of 64",2006,"United States","Germany",,
"Rafael Nadal",2,"ESP","Robert Kendrick",,"USA","674 36 762 75 64","Round of 64",2006,"Spain","United States",,"qualifier"
"Roger Federer",1,"SUI","Tim Henman",,"GBR","64 60 62","Round of 64",2006,"Switzerland","Great Britain",,
"Irakli Labadze",,"GEO","Mardy Fish",,"USA","62 (RET)","Round of 32",2006,"Georgia","United States","qualifier",
"Novak Djokovic",,"SRB","Mikhail Youzhny",,"RUS","46 62 63 63","Round of 32",2006,"Serbia","Russia",,
"Jonas Bjorkman",,"SWE","Daniele Bracciali",,"ITA","75 62 61","Round of 32",2006,"Sweden","Italy",,
"Jarkko Nieminen",22,"FIN","Philipp Kohlschreiber",,"GER","16 62 63 764","Round of 32",2006,"Finland","Germany",,
"Marcos Baghdatis",18,"CYP","Sebastien Grosjean",15,"FRA","46 64 64 61","Round of 32",2006,"Cyprus","France",,
"Radek Stepanek",14,"CZE","Juan Carlos Ferrero",24,"ESP","57 673 64 62 119","Round of 32",2006,"Czech Republic","Spain",,
"Tomas Berdych",13,"CZE","Tommy Haas",19,"GER","26 75 767 46 86","Round of 32",2006,"Czech Republic","Germany",,
"David Ferrer",23,"ESP","Fernando Gonzalez",10,"CHI","46 26 62 63 64","Round of 32",2006,"Spain","Chile",,
"Max Mirnyi",,"BLR","James Blake",8,"USA","64 36 46 61 60","Round of 32",2006,"Belarus","United States",,
"Mario Ancic",7,"CRO","Stan Wawrinka",,"SUI","765 675 61 63","Round of 32",2006,"Croatia","Switzerland",,
"Lleyton Hewitt",6,"AUS","Olivier Rochus",26,"BEL","61 64 64","Round of 32",2006,"Australia","Belgium",,
"Dmitry Tursunov",27,"RUS","Ivan Ljubicic",5,"CRO","57 46 61 766 62","Round of 32",2006,"Russia","Croatia",,
"Fernando Verdasco",28,"ESP","David Nalbandian",4,"ARG","769 769 62","Round of 32",2006,"Spain","Argentina",,
"Andy Murray",,"GBR","Andy Roddick",3,"USA","764 64 64","Round of 32",2006,"Great Britain","United States",,
"Rafael Nadal",2,"ESP","Andre Agassi",25,"USA","765 62 64","Round of 32",2006,"Spain","United States",,
"Roger Federer",1,"SUI","Nicolas Mahut",,"FRA","63 762 64","Round of 32",2006,"Switzerland","France",,
"Jonas Bjorkman",,"SWE","Max Mirnyi",,"BLR","63 766 46 26 63","Round of 16",2006,"Sweden","Belarus",,
"Jarkko Nieminen",22,"FIN","Dmitry Tursunov",27,"RUS","75 64 672 676 97","Round of 16",2006,"Finland","Russia",,
"Marcos Baghdatis",18,"CYP","Andy Murray",,"GBR","63 64 762","Round of 16",2006,"Cyprus","Great Britain",,
"Radek Stepanek",14,"CZE","Fernando Verdasco",28,"ESP","674 63 46 64 62","Round of 16",2006,"Czech Republic","Spain",,
"Mario Ancic",7,"CRO","Novak Djokovic",,"SRB","64 46 46 75 63","Round of 16",2006,"Croatia","Serbia",,
"Lleyton Hewitt",6,"AUS","David Ferrer",23,"ESP","64 64 46 75","Round of 16",2006,"Australia","Spain",,
"Rafael Nadal",2,"ESP","Irakli Labadze",,"GEO","63 764 63","Round of 16",2006,"Spain","Georgia",,"qualifier"
"Roger Federer",1,"SUI","Tomas Berdych",13,"CZE","63 63 64","Round of 16",2006,"Switzerland","Czech Republic",,
"Jonas Bjorkman",,"SWE","Radek Stepanek",14,"CZE","763 46 675 767 64","Quarter-Finals",2006,"Sweden","Czech Republic",,
"Marcos Baghdatis",18,"CYP","Lleyton Hewitt",6,"AUS","61 57 765 62","Quarter-Finals",2006,"Cyprus","Australia",,
"Rafael Nadal",2,"ESP","Jarkko Nieminen",22,"FIN","63 64 64","Quarter-Finals",2006,"Spain","Finland",,
"Roger Federer",1,"SUI","Mario Ancic",7,"CRO","64 64 64","Quarter-Finals",2006,"Switzerland","Croatia",,
"Rafael Nadal",2,"ESP","Marcos Baghdatis",18,"CYP","61 75 63","Semi-Finals",2006,"Spain","Cyprus",,
"Roger Federer",1,"SUI","Jonas Bjorkman",,"SWE","62 60 62","Semi-Finals",2006,"Switzerland","Sweden",,
