"winner","winner_seeding","winner_flag","loser","loser_seeding","loser_flag","score","round","year","winner_country","loser_country","winner_type","loser_type"
"Feliciano Lopez",26,"ESP","Mario Ancic",10,"CRO","64 64 62","Round of 16",2005,"Spain","Croatia",,
"Sebastien Grosjean",9,"FRA","Dmitry Tursunov",,"RUS","64 675 63 36 61","Round of 16",2005,"France","Russia",,
"Lleyton Hewitt",3,"AUS","Taylor Dent",24,"USA","64 64 677 63","Round of 16",2005,"Australia","United States",,
"Andy Roddick",2,"USA","Guillermo Coria",15,"ARG","63 761 64","Round of 16",2005,"United States","Argentina",,
"Roger Federer",1,"SUI","Juan Carlos Ferrero",23,"ESP","63 64 766","Round of 16",2005,"Switzerland","Spain",,
"Thomas Johansson",12,"SWE","David Nalbandian",18,"ARG","765 62 62","Quarter-Finals",2005,"Sweden","Argentina",,
"Lleyton Hewitt",3,"AUS","Feliciano Lopez",26,"ESP","75 64 762","Quarter-Finals",2005,"Australia","Spain",,
"Andy Roddick",2,"USA","Sebastien Grosjean",9,"FRA","36 62 61 36 63","Quarter-Finals",2005,"United States","France",,
"Roger Federer",1,"SUI","Fernando Gonzalez",21,"CHI","75 62 762","Quarter-Finals",2005,"Switzerland","Chile",,
"Andy Roddick",2,"USA","Thomas Johansson",12,"SWE","676 62 7610 765","Semi-Finals",2005,"United States","Sweden",,
"Roger Federer",1,"SUI","Lleyton Hewitt",3,"AUS","63 64 764","Semi-Finals",2005,"Switzerland","Australia",,
"Roger Federer",1,"SUI","Andy Roddick",2,"USA","62 762 64","Finals",2005,"Switzerland","United States",,
